;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxyz;',./
Length=4
InvalidChar=;iuv
[Rule]
e2=p11+p12+p21+p22
e3=p11+p12+p21+p31
a4=p11+p21+p31+n11
[Data]
/ 、
a 安
a,r 嫒
a,ri 嫒
a,s 媪
a,sd 媪
aadb 嗷嗷待哺
aajj 安安静静
aaww 安安稳稳
aaxx 安安心心
ab 艾
abbd 按兵不动
abdg 安邦定国
abjb 按部就班
abp 蔼
abps 蔼
abr 艾
abss 爱不释手
abzb 艾滋病
ac 澳
acmu 澳门
acrm 爱财如命
acw. 澳
aczc 澳洲
ad 肮
adcc 暗渡陈仓
adk 腌
adku 腌
adly 澳大利亚
ado 胺
ado/ 胺
adss 安第斯山
adtj 安定团结
adwn 安度晚年
adyt 肮
adzd 肮脏
aebs 阿尔卑斯
aeby 阿尔巴尼亚
aejy 阿尔及利亚
aets 阿尔泰山
af 俺
afet 埃菲尔铁塔
afgg 傲骨
afh 傲
afha 傲
afku 俺
afmf 俺们
afmo 傲慢
afqq 傲气
afrt 傲然
afsj 安分守己
afsp 傲视
ag 凹
agb, 岸边
agcx 凹槽
agdc 黯淡
agdv 凹地
agg 盎
aggs 盎
aggz 凹
agh 岸
aghx 岸
aghy 凹痕
agjy 爱岗敬业
agmk 凹面
agrq 爱国热情
agrs 爱国人士
agrt 盎然
agrt 黯然
agsa 岸上
agsf 爱国守法
agsn 盎司
agta 凹凸
agxm 凹陷
agy 黯
agyd 爱国运动
agyi 黯
agzy 爱国主义
ah 熬
ah/ 骜
ah/z 骜
ahby 哀鸿遍野
ahd; 熬到
ahf 鏊
ahfh 鏊
ahg 螯
ahgj 螯
ahgw 爱护公物
ahj 聱
ahja 聱
ahk 獒
ahko 獒
ahoo 熬
ahp 遨
ahpv 遨
ahq 敖
ahqc 爱恨情仇
ahqr 敖
ahr 瑷
ahri 瑷
aht 鳌
ahtg 鳌
ahyc 遨游
ahyy 熬夜
ahzj 熬煮
aj 鞍
ajah 挨家挨户
ajgz 鞍钢
ajlh 安家落户
ajly 安居乐业
ajm/ 鞍马
ajmd 阿基米德
ajo/ 鞍
ajsg 鞍山
ajsr 暗箭伤人
ajss 鞍山市
ak 碍
akb 砹
akbr 砹
akcy 鹌鹑
aksh 碍
aksj 碍事
akt 鹌
aktp 鹌
akyg 碍眼
akyh 碍于
al 啊
al. 唉
al.q 唉
alb 哎
albl 爱理不理
albr 哎
albs 奥林巴斯
albx 呆板
albz 阿拉伯数字
alfp 按劳分配
alh 嗷
